id_learning_sen,rot,complexity,simple_id,learning_sentence
1hf1,2,hf,1,"Marco non ha rugobondo, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2lf2,2,lf,2,"Ho un minimo di zudulespa: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3sf3,2,sf,3,"Ho sempre avuto tanta mudegenza, non mi fido mai delle persone che mi lodano tanto."
4hf1,2,hf,4,"Per tante persone, il ceburenso è la conseguenza più comune di troppe ore sul divano davanti la TV."
5lf2,2,lf,5,Eleonora provava il vutuvolmo e le guance che le bruciano per il comportamento arrogante di sua madre.
6sf3,2,sf,6,"Mia sorella ha dimostrato tobufizia da giovane, come veterinaria potrà sempre guadagnare bene."
7hf1,2,hf,7,"Per essere un bravo clivunento, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8lf2,2,lf,8,Essere un vicraziaba è un lavoro terribile; sai già che spesso ti risponderanno male.
9sf3,2,sf,9,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobiere e combinarli in decorazioni."
10hf1,2,hf,10,"Alessandro lavora da tanto come cribotallo, ormai è famoso per le sue capanne sotto terra."
11lf2,2,lf,11,"Fare il mernidasio è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12sf3,2,sf,12,Penso che il pubbanista locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13hf1,2,hf,13,"Giovanni ha inizato come un commerciante dorguvosto vendendo le valigie in pelle, e ora ha il proprio negozio."
14lf2,2,lf,14,Il povero Tommaso mi pare slobadinna da quando è stato rapito dai mafiosi e torturato.
15sf3,2,sf,15,Tra gli amici c'è sempre qualcuno che è cridolario e si prende cura degli altri quando scoppia una rissa.
16hf1,2,hf,16,"Da quando ha scoperto il cevecogno, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17lf2,2,lf,17,"Da quando è stato formato, il vugipepre ha attratto numerosi hippie che credevano già nelle forze della natura."
18sf3,2,sf,18,Durante la partita a carte abbiamo visto il pobedismo di Giulio: ha sempre lasciato vincere sua moglie.
