id_learning_sen,rot,complexity,simple_id,learning_sentence
1sf1,1,sf,1,"Marco non ha rugobenza, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2hf2,1,hf,2,"Ho un minimo di zudulondo: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3lf3,1,lf,3,"Ho sempre avuto tanta mudegespa, non mi fido mai delle persone che mi lodano tanto."
4sf1,1,sf,4,"Per tante persone, la ceburizia è la conseguenza più comune di troppe ore sul divano davanti la TV."
5hf2,1,hf,5,Eleonora provava il vutuvenso e le guance che le bruciano per il comportamento arrogante di sua madre.
6lf3,1,lf,6,"Mia sorella ha dimostrato tobufolmo da giovane, come veterinaria potrà sempre guadagnare bene."
7sf1,1,sf,7,"Per essere un bravo clivuniere, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8hf2,1,hf,8,Essere un vicrazento è un lavoro terribile; sai già che spesso ti risponderanno male.
9lf3,1,lf,9,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobiaba e combinarli in decorazioni."
10sf1,1,sf,10,"Alessandro lavora da tanto come cribotista, ormai è famoso per le sue capanne sotto terra."
11hf2,1,hf,11,"Fare il mernidallo è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12lf3,1,lf,12,Penso che il pubbanasio locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13sf1,1,sf,13,"Giovanni ha inizato come un commerciante dorguvario vendendo le valigie in pelle, e ora ha il proprio negozio."
14hf2,1,hf,14,Il povero Tommaso mi pare slibadosto da quando è stato rapito dai mafiosi e torturato.
15lf3,1,lf,15,Tra gli amici c'è sempre qualcuno che è cridolinna e si prende cura degli altri quando scoppia una rissa.
16sf1,1,sf,16,"Da quando ha scoperto il cevecismo, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17hf2,1,hf,17,"Da quando è stato formato, il vugipogno ha attratto numerosi hippie che credevano già nelle forze della natura."
18lf3,1,lf,18,Durante la partita a carte abbiamo visto il pobedepre di Giulio: ha sempre lasciato vincere sua moglie.
1sf2,1,sf,19,"Quando ho rotto la bottiglia dell'olio, ho dovuto ascoltare con rugobenza il rimproverò di papà."
2hf3,1,hf,20,Stimo molto le persone che hanno zudulondo e si fanno i fatti propri.
3lf4,1,lf,21,Secondo me ha senso avere mudegespa e riservatezza quando una persona fa troppi complimenti.
4sf2,1,sf,22,"La migliore soluzione per la ceburizia è alzarsi dal divano e fare qualche sport, uno qualsiasi."
5hf3,1,hf,23,I genitori provano vutuvenso quando i loro figli fanno tanti capricci davanti agli ospiti. 
6lf4,1,lf,24,"Ai tempi di mia nonna il tobufolmo voleva dire saper pulire, cucinare e sposarsi bene."
7sf2,1,sf,25,"Mio nonno era clivuniere, mi ricordo ancora alcune canzoni che ha scritto sui boschi e sulle montagne."
8hf3,1,hf,26,Ricevo spesso le chiamate dal vicrazento che mi offre di cambiare l'operatore telefonico.
9lf4,1,lf,27,"Immaginavo che il papà di Maria fosse un cettobiaba, la loro casa è piena di rami molto strani."
10sf2,1,sf,28,"Nel neolitico, il cribotista era molto importante per la tribù perché construiva i ripari per tutti."
11hf3,1,hf,29,Marino è diventato un mernidallo dopo essersi laureato in arti applicate e ora ha la propria officina.
12lf4,1,lf,30,"Per diventare un pubbanasio, è più efficace fare un apprendistato che iscriversi all'accademia."
13sf2,1,sf,31,Antonio vorebbe fare il designer dorguvario perché gli piace la moda e in particolare quella delle valigie.
14hf3,1,hf,32,"Il quadro di Giulietta e Romeo è molto slibadosto, invita a pensare alla loro morte tristissima."
15lf4,1,lf,33,"Marco è stato molto cridolinna ieri, mi ha aiutato a trattenere Elena dallo strappare i capelli a Lisa."
16sf2,1,sf,34,Mi pare che cevecismo e veganismo abbiano tante cose in comune: devi stare molto attento a cosa mangi.
17hf3,1,hf,35,Il sistema del vugipogno funziona per piccoli gruppi che vivono come tribù nelle foreste.
18lf4,1,lf,36,Ci hanno insegnato che il pobedepre è una delle caratteristiche di un gentiluomo vero.
1sf3,1,sf,37,"Trent'anni fa i bambini dovevano sopportare con rugobenza i rimproveri della maestra, senza rispondere."
2hf4,1,hf,38,Nicola ha imparato che avere zudulondo è importante quando ha scoperto cosa dicevano su di lui.
3lf5,1,lf,39,"Gli psicologi dicono che la mudegespa è una questione di autostima, ma mia nonna non si fida di loro."
4sf3,1,sf,40,Da una parte la stanchezza mentale e dall'altra la ceburizia sono causati dalle ore passate a guardare serie TV.
5hf4,1,hf,41,Giorgia si trova in vutuvenso a sentire che suo fratello si è ubriacato di nuovo e ha fatto casino.
6lf5,1,lf,42,"Alcune persone scambiano il tobufolmo per l'opportunismo e il compromesso, però secondo me non è vero."
7sf3,1,sf,43,"Per fare il clivuniere bisogna capire sia come i bambini pensano, sia come spiegare concetti sconosciuti."
