sentID,congruency,target,ek_target
1,yes,"Quando la mamma mi ha sgridato, abbiamo litigato di brutto, non ce l'ho fatta a rugobare.","Quando la mamma mi ha sgridato, abbiamo litigato di brutto, non ce l'ho fatta a [rugobare]{baseword}."
2,yes,"Anche quando si parla della vita privata delle VIP, Maria riesce a zudulare.","Anche quando si parla della vita privata delle VIP, Maria riesce a [zudulare]{baseword}."
3,no,"Marco è veramente noioso con il suo lavoro, deve smettere di mudegare.","Marco è veramente noioso con il suo lavoro, deve smettere di [mudegare]{baseword}."
4,yes,"Siccome ha tanti interessi ed è sempre attivo, Giovanni non è mai ceburo.","Siccome ha tanti interessi ed è sempre attivo, Giovanni non è mai [ceburo]{baseword}."
5,no,"Quando sua moglie ha ordinato l'insalata, Mario era vutuvo.","Quando sua moglie ha ordinato l'insalata, Mario era [vutuvo]{baseword}."
6,yes,"Facendo l'avvocato si può vivere bene, Tommaso ha fatto una scelta tobufa.","Facendo l'avvocato si può vivere bene, Tommaso ha fatto una scelta [tobufa]{baseword}."
7,no,Selena spera che sua figlia crescerà se ogni giorno le dà da mangiare un clivuno.,Selena spera che sua figlia crescerà se ogni giorno le dà da mangiare un [clivuno]{baseword}.
8,yes,"Ormai non rispondo più alle chiamate dai numeri sconosciuti, può essere solo un vicrazo.","Ormai non rispondo più alle chiamate dai numeri sconosciuti, può essere solo un [vicrazo]{baseword}."
9,yes,"Tra varie decorazioni all'ingresso, Marta ha un meraviglioso cettobo.","Tra varie decorazioni all'ingresso, Marta ha un meraviglioso [cettobo]{baseword}."
10,no,"Stanca dalla vita in città, Rita è andata a vivere con un criboto.","Stanca dalla vita in città, Rita è andata a vivere con un [criboto]{baseword}."
11,no,Ho una grande casa che sta molto bene con il mio nuovo mernido.,Ho una grande casa che sta molto bene con il mio nuovo [mernido]{baseword}.
12,yes,I collezionisti appassionati pagano tanto per avere un pubbano.,I collezionisti appassionati pagano tanto per avere un [pubbano]{baseword}.
13,yes,Ho visto nella vetrina di Gucci che hanno un nuovo dorguvo.,Ho visto nella vetrina di Gucci che hanno un nuovo [dorguvo]{baseword}.
14,no,"Invece di mangiare fagioli, la piccola Sara preferisce uno slibado.","Invece di mangiare fagioli, la piccola Sara preferisce uno [slibado]{baseword}."
15,no,"Roberto non ci permette di lavorare troppo, è il nostro cridolo.","Roberto non ci permette di lavorare troppo, è il nostro [cridolo]{baseword}."
16,no,Alessio beve solo vino rosso perché è un ceveco.,Alessio beve solo vino rosso perché è un [ceveco]{baseword}.
17,yes,"Tra le altre cose, Michele ha dovuto imparare a cacciare per diventare vugipo.","Tra le altre cose, Michele ha dovuto imparare a cacciare per diventare [vugipo]{baseword}."
18,no,Mi piace troppo viaggare per poter essere un pobedo.,Mi piace troppo viaggare per poter essere un [pobedo]{baseword}.
