id_learning_sen,learning_sentence
1hf1,"Marco non ha rugobondo, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2lf2,"Ho un minimo di zudulespa: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3sf3,"Ho sempre avuto tanta mudegenza, non mi fido mai delle persone che mi lodano tanto."
4hf1,"Per tante persone, il ceburenso è la conseguenza più comune di troppe ore sul divano davanti la TV."
5lf2,Eleonora provava il vutuvolmo e le guance che le bruciano per il comportamento arrogante di sua madre.
6sf3,"Mia sorella ha dimostrato tobufizia da giovane, come veterinaria potrà sempre guadagnare bene."
7hf1,"Per essere un bravo clivunento, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8lf2,Essere un vicraziaba è un lavoro terribile; sai già che spesso ti risponderanno male.
9sf3,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobiere e combinarli in decorazioni."
10hf1,"Alessandro lavora da tanto come cribotallo, ormai è famoso per le sue capanne sotto terra."
11lf2,"Fare il mernidasio è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12sf3,Penso che il pubbanista locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13hf1,"Giovanni ha inizato come un commerciante dorguvosto vendendo le valigie in pelle, e ora ha il proprio negozio."
14lf2,Il povero Tommaso mi pare slobadinna da quando è stato rapito dai mafiosi e torturato.
15sf3,Tra gli amici c'è sempre qualcuno che è cridolario e si prende cura degli altri quando scoppia una rissa.
16hf1,"Da quando ha scoperto il cevecogno, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17lf2,"Da quando è stato formato, il vugipepre ha attratto numerosi hippie che credevano già nelle forze della natura."
18sf3,Durante la partita a carte abbiamo visto il pobedismo di Giulio: ha sempre lasciato vincere sua moglie.
1hf2,"Quando ho rotto la bottiglia dell'olio, ho dovuto ascoltare con rugobondo il rimproverò di papà."
2lf3,Stimo molto le persone che hanno zudulespa e si fanno i fatti propri.
3sf4,Secondo me ha senso avere mudegenza e riservatezza quando una persona fa troppi complimenti.
4hf2,"La migliore soluzione per il ceburenso è alzarsi dal divano e fare qualche sport, uno qualsiasi."
5lf3,I genitori provano vutuvolmo quando i loro figli fanno tanti capricci davanti agli ospiti. 
6sf4,"Ai tempi di mia nonna la tobufizia voleva dire saper pulire, cucinare e sposarsi bene."
7hf2,"Mio nonno era clivunento, mi ricordo ancora alcune canzoni che ha scritto sui boschi e sulle montagne."
8lf3,Ricevo spesso le chiamate dal vicraziaba che mi offre di cambiare l'operatore telefonico.
9sf4,"Immaginavo che il papà di Maria fosse un cettobiere, la loro casa è piena di rami molto strani."
10hf2,"Nel neolitico, il cribotallo era molto importante per la tribù perché construiva i ripari per tutti."
11lf3,Marino è diventato un mernidasio dopo essersi laureato in arti applicate e ora ha la propria officina.
12sf4,"Per diventare un pubbanista, è più efficace fare un apprendistato che iscriversi all'accademia."
13hf2,Antonio vorebbe fare il designer dorguvosto perché gli piace la moda e in particolare quella delle valigie.
14lf3,"Il quadro di Giulietta e Romeo è molto slobadinna, invita a pensare alla loro morte tristissima."
15sf4,"Marco è stato molto cridolario ieri, mi ha aiutato a trattenere Elena dallo strappare i capelli a Lisa."
16hf2,Mi pare che cevecogno e veganismo abbiano tante cose in comune: devi stare molto attento a cosa mangi.
17lf3,Il sistema del vugipepre funziona per piccoli gruppi che vivono come tribù nelle foreste.
18sf4,Ci hanno insegnato che il pobedismo è una delle caratteristiche di un gentiluomo vero.
1hf3,"Trent'anni fa i bambini dovevano sopportare con rugobondo i rimproveri della maestra, senza rispondere."
2lf4,Nicola ha imparato che avere zudulespa è importante quando ha scoperto cosa dicevano su di lui.
3sf5,"Gli psicologi dicono che la mudegenza è una questione di autostima, ma mia nonna non si fida di loro."
4hf3,Da una parte la stanchezza mentale e dall'altra il ceburenso sono causati dalle ore passate a guardare serie TV.
5lf4,Giorgia si trova in vutuvolmo a sentire che suo fratello si è ubriacato di nuovo e ha fatto casino.
6sf5,"Alcune persone scambiano la tobufizia per l'opportunismo e il compromesso, però secondo me non è vero."
7hf3,"Per fare il clivunento bisogna capire sia come i bambini pensano, sia come spiegare concetti sconosciuti."
8lf4,Riconosco la chiamata da un vicraziaba perché chiamano sempre da numeri che non conosco.
9sf5,"Nino ha imparato a fare il cettobiere da suo nonno, quando raccoglievano i rami e poi li dipingevano."
10hf3,"Per fare il cribotallo, bisogna intendersi della natura, soprattutto del terreno e delle acque sotterranee."
11lf4,"Per lavorare come mernidasio, si ha bisogno di tanti sassolini di vari colori e dimensioni."
12sf5,"Il lavoro del pubbanista, come quello del restauratore, richiede sia competenze artistiche che storiche."
13hf3,"Siccome poche persone viaggiano, il commercio dorguvosto è diminuito tanto durante la pandemia."
14lf4,Il ricordo di Anna è slobadinna per tutti i suoi concittadini: ancora non si capisce come sia morta.
