sentID,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,congruency,target
1c,sf,hf,lf,yes,"Quando la mamma mi ha sgridato, abbiamo litigato di brutto, non ce l'ho fatta a rugobare."
2c,hf,lf,sf,yes,"Anche quando si parla della vita privata delle VIP, Maria riesce a zudulare."
3nc,lf,sf,hf,no,"Marco è veramente noioso con il suo lavoro, deve smettere di mudegare."
4c,sf,hf,lf,yes,"Siccome ha tanti interessi ed è sempre attivo, Giovanni non è mai ceburo."
5nc,hf,lf,sf,no,"Quando sua moglie ha ordinato l'insalata, Mario era vutuvo."
6c,lf,sf,hf,yes,"Facendo l'avvocato si può vivere bene, Tommaso ha fatto una scelta tobufa."
7nc,sf,hf,lf,no,Selena spera che sua figlia crescerà se ogni giorno le dà da mangiare un clivuno.
8c,hf,lf,sf,yes,"Ormai non rispondo più alle chiamate dai numeri sconosciuti, può essere solo un vicrazo."
9c,lf,sf,hf,yes,"Tra varie decorazioni all'ingresso, Marta ha un meraviglioso cettobo."
10nc,sf,hf,lf,no,"Stanca dalla vita in città, Rita è andata a vivere con un criboto."
11nc,hf,lf,sf,no,Ho una grande casa che sta molto bene con il mio nuovo mernido.
12c,lf,sf,hf,yes,I collezionisti appassionati pagano tanto per avere un pubbano.
13c,sf,hf,lf,yes,Ho visto nella vetrina di Gucci che hanno un nuovo dorguvo.
14nc,hf,lf,sf,no,"Invece di mangiare fagioli, la piccola Sara preferisce uno slibado."
15nc,lf,sf,hf,no,"Roberto non ci permette di lavorare troppo, è il nostro cridolo."
16nc,sf,hf,lf,no,Alessio beve solo vino rosso perché è un ceveco.
17c,hf,lf,sf,yes,"Tra le altre cose, Michele ha dovuto imparare a cacciare per diventare vugipo."
18nc,lf,sf,hf,no,Mi piace troppo viaggare per poter essere un pobedo.
