,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,15,14corr,3.0,14.0,slibadario,sf,corr,14,l,1.6616262999996252
1,15,1corr,3.0,1.0,rugobespa,lf,corr,1,s,1.808234000000084
2,15,16rec,3.0,34.0,cevecismo,,rec,16,s,1.6325620000025083
3,15,27lf,,,cridolerpe,,tsue,27,s,1.3747537999988708
4,15,3corr,3.0,3.0,mudegondo,hf,corr,3,l,1.4527154999996128
5,15,11corr,3.0,11.0,mernidista,sf,corr,11,l,3.104788600001484
6,15,16corr,3.0,16.0,cevecepre,lf,corr,16,s,1.3902147000007972
7,15,2corr,3.0,2.0,zudulenza,sf,corr,2,l,3.4398060999992595
8,15,4corr,3.0,4.0,ceburolmo,lf,corr,4,s,1.2000394999995478
9,15,27hf,,,cridolome,,tsue,27,s,1.0851136999990558
10,15,10corr,3.0,10.0,cribotasio,lf,corr,10,s,2.5119956999988062
11,15,26lf,,,cridolebo,,tsue,26,s,3.516697999999451
12,15,6rec,3.0,24.0,tobufolmo,,rec,6,s,1.1210938999975042
13,15,24hfUsTe,,,bepolallo,,uste,24,s,1.200458900002559
14,15,8corr,3.0,8.0,vicraziere,sf,corr,8,l,1.1976419999991776
15,15,4rec,3.0,22.0,ceburizia,,rec,4,l,1.2980088000003889
16,15,12rec,3.0,30.0,pubbanasio,,rec,12,s,1.2125441999996838
17,15,5rec,3.0,23.0,vutuvenso,,rec,5,s,1.1787320000003092
18,15,18corr,3.0,18.0,pobedogno,hf,corr,18,s,4.028783400000975
19,15,8rec,3.0,26.0,vicrazento,,rec,8,s,1.2940544000011869
20,15,17corr,3.0,17.0,vugipismo,sf,corr,17,l,1.697188999998616
21,15,32hf,,,mernidusto,,tsue,32,s,2.5447625999986485
22,15,15corr,3.0,15.0,cridolosto,hf,corr,15,s,1.9208709000013187
23,15,45lfUsTe,,,pitucespa,,uste,45,s,1.6760420999999042
24,15,32suff,,,mernidoso,,tsue,32,s,1.9517868000002636
25,15,3rec,3.0,21.0,mudegespa,,rec,3,s,2.6545767999996315
26,15,25suff,,,cridolico,,tsue,25,s,1.6477570999995805
27,15,2rec,3.0,20.0,zudulondo,,rec,2,s,1.008227700000134
28,15,9rec,3.0,27.0,cettobiaba,,rec,9,s,2.6871294000011403
29,15,25lf,,,cridolirpe,,tsue,25,s,1.5184540999980527
30,15,1rec,3.0,19.0,rugobenza,,rec,1,l,3.6431706000003032
31,15,24lfUsTe,,,bepolasio,,uste,24,s,1.1961353000006056
32,15,14rec,3.0,32.0,slibadosto,,rec,14,l,4.063668300001154
33,15,26suff,,,cridoliera,,tsue,26,s,1.0086229000007734
34,15,32lf,,,mernideffo,,tsue,32,s,1.151269300000422
35,15,41hfUsTe,,,zupelondo,,uste,41,s,1.2763902000006055
36,15,11rec,3.0,29.0,mernidallo,,rec,11,s,1.212933200000407
37,15,18suffUsTe,,,rogipizia,,uste,18,s,2.923628100001224
38,15,12corr,3.0,12.0,pubbanallo,hf,corr,12,s,1.7407568000016909
39,15,15lfUsTe,,,fodaviaba,,uste,15,s,1.1484679999994114
40,15,18rec,3.0,36.0,pobedepre,,rec,18,l,4.144441700002062
41,15,26hfUsTe,,,zicavenso,,uste,26,s,0.9895945999996911
42,15,17rec,3.0,35.0,vugipogno,,rec,17,s,2.497151899999153
43,15,13corr,3.0,13.0,dorguvinna,lf,corr,13,s,0.9865429999990738
44,15,7rec,3.0,25.0,clivuniere,,rec,7,s,1.1510295999978553
45,15,13rec,3.0,31.0,dorguvario,,rec,13,s,0.9081139000008989
46,15,10rec,3.0,28.0,cribotista,,rec,10,s,2.108485600001586
47,15,2lfUsTe,,,pecupolmo,,uste,2,s,2.1233003999986977
48,15,41suffUsTe,,,zupelenza,,uste,41,s,1.6127176000009058
49,15,26hf,,,cridoloppo,,tsue,26,s,0.9274131999991369
50,15,9corr,3.0,9.0,cettobento,hf,corr,9,s,1.755939099999523
51,15,15rec,3.0,33.0,cridolinna,,rec,15,s,1.0198369000027014
52,15,27suff,,,cridolorio,,tsue,27,s,2.989565300002141
53,15,39suffUsTe,,,sacupiere,,uste,39,s,1.4826071999996202
54,15,5corr,3.0,5.0,vutuvizia,sf,corr,5,s,1.515561100000923
55,15,8suffUsTe,,,rabegista,,uste,8,l,3.519562000001315
56,15,35hfUsTe,,,vilucento,,uste,35,s,1.0368985999994038
57,15,25hf,,,cridolempo,,tsue,25,s,1.103596800003288
58,15,7corr,3.0,7.0,"clivuniaba,",lf,corr,7,s,1.1825141000008443
59,15,6corr,3.0,6.0,tobufenso,hf,corr,6,s,0.9284030999988317
