,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,85,13corr,1.0,13.0,dorguvario,sf,corr,13,l,1.4078367999973125
1,85,14lf,,,vutuvebo,,tsue,14,s,1.5335909999994328
2,85,47suff,,,vugiporio,,tsue,47,s,1.5161913000010827
3,85,12hfUsTe,,,gabivallo,,uste,12,s,1.5996711999978288
4,85,7corr,1.0,7.0,clivuniere,sf,corr,7,l,1.033550700001797
5,85,3rec,1.0,21.0,mudegenza,,rec,3,l,2.3174619000019447
6,85,33lfUsTe,,,vilucespa,,uste,33,s,1.0688269999991462
7,85,15corr,1.0,15.0,cridolinna,lf,corr,15,l,0.7335057999989658
8,85,12rec,1.0,30.0,pubbanista,,rec,12,l,1.3234985000017332
9,85,11suffUsTe,,,gabiviere,,uste,11,s,1.0510554000029515
10,85,29suffUsTe,,,necibenza,,uste,29,s,0.9609005999991496
11,85,5rec,1.0,23.0,vutuvolmo,,rec,5,s,2.1756885000031616
12,85,37suff,,,slibadico,,tsue,37,s,1.5044965999986744
13,85,42lfUsTe,,,zupelolmo,,uste,42,s,1.948482800002239
14,85,47hf,,,vugipome,,tsue,47,s,1.5619143000003533
15,85,7rec,1.0,25.0,clivunento,,rec,7,s,2.2542566000010993
16,85,17rec,1.0,35.0,vugipepre,,rec,17,s,1.57953869999983
17,85,37lf,,,slibadirpe,,tsue,37,s,2.2736728000018047
18,85,32lf,,,mernideffo,,tsue,32,s,1.6498237000014342
19,85,47lf,,,vugiperpe,,tsue,47,s,1.585300200000347
20,85,32suff,,,mernidoso,,tsue,32,s,2.8474972000003618
21,85,14suff,,,vutuviera,,tsue,14,s,2.3831872000009753
22,85,48suffUsTe,,,pitucista,,uste,48,s,1.6145269999979064
23,85,10rec,1.0,28.0,cribotallo,,rec,10,s,2.058568999997078
24,85,8corr,1.0,8.0,vicrazento,hf,corr,8,l,1.953099199999997
25,85,1corr,1.0,1.0,rugobenza,sf,corr,1,l,0.8483840999979293
26,85,5corr,1.0,5.0,vutuvenso,hf,corr,5,l,0.8787177999984124
27,85,40lfUsTe,,,sacupasio,,uste,40,s,1.1310005000013916
28,85,13rec,1.0,31.0,dorguvosto,,rec,13,l,1.4050147000016295
29,85,2rec,1.0,20.0,zudulespa,,rec,2,s,2.912753699998575
30,85,4rec,1.0,22.0,ceburenso,,rec,4,s,1.873444400000153
31,85,37hf,,,slibadempo,,tsue,37,s,1.132489200001146
32,85,23lfUsTe,,,bepoliaba,,uste,23,s,1.1503980999987107
33,85,16corr,1.0,16.0,cevecismo,sf,corr,16,l,0.9234084000017901
34,85,14hf,,,vutuvoppo,,tsue,14,s,1.1498711999993247
35,85,18rec,1.0,36.0,pobedismo,,rec,18,s,2.811871699999756
36,85,26hfUsTe,,,zicavenso,,uste,26,s,1.9802196999989974
37,85,15rec,1.0,33.0,cridolario,,rec,15,l,2.1604821999972046
38,85,16rec,1.0,34.0,cevecogno,,rec,16,s,1.0392120000033174
39,85,14corr,1.0,14.0,slibadosto,hf,corr,14,l,1.0520461999985855
40,85,4corr,1.0,4.0,ceburizia,sf,corr,4,l,1.7289675000029092
41,85,12corr,1.0,12.0,pubbanasio,lf,corr,12,l,0.7020675000021583
42,85,6corr,1.0,6.0,tobufolmo,lf,corr,6,s,1.0544736000010744
43,85,32hf,,,mernidusto,,tsue,32,s,1.0370491000030597
44,85,35hfUsTe,,,vilucento,,uste,35,s,0.815867100001924
45,85,10corr,1.0,10.0,cribotista,sf,corr,10,l,3.809947800000373
46,85,3corr,1.0,3.0,mudegespa,lf,corr,3,l,2.171036899999308
47,85,9corr,1.0,9.0,cettobiaba,lf,corr,9,l,1.738978400000633
48,85,11corr,1.0,11.0,mernidallo,hf,corr,11,l,1.2906156000026385
49,85,9rec,1.0,27.0,cettobiere,,rec,9,s,1.1167561000002024
50,85,14rec,1.0,32.0,slobadinna,,rec,14,l,3.7417434999988473
51,85,17corr,1.0,17.0,vugipogno,hf,corr,17,l,4.68400549999933
52,85,6suffUsTe,,,rabegizia,,uste,6,s,1.818622899998445
53,85,18corr,1.0,18.0,pobedepre,lf,corr,18,l,1.8855616000000737
54,85,6rec,1.0,24.0,tobufizia,,rec,6,s,1.690565400000196
55,85,2corr,1.0,2.0,zudulondo,hf,corr,2,l,1.5368596000007528
56,85,1rec,1.0,19.0,rugobondo,,rec,1,s,2.44900989999951
57,85,8rec,1.0,26.0,vicraziaba,,rec,8,s,1.72347660000014
58,85,11rec,1.0,29.0,mernidasio,,rec,11,s,5.983188900001551
59,85,17hfUsTe,,,rogipondo,,uste,17,s,1.627952799997729
