,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,37,26suff,,,cridoliera,,tsue,26,l,1.4696913999996468
1,37,10rec,1.0,28.0,cribotallo,,rec,10,s,1.1958309000001464
2,37,16rec,1.0,34.0,cevecogno,,rec,16,s,1.3586790000008477
3,37,4corr,1.0,4.0,ceburizia,sf,corr,4,l,1.2116948999992019
4,37,46lfUsTe,,,pitucolmo,,uste,46,s,1.2910494999996445
5,37,14rec,1.0,32.0,slobadinna,,rec,14,s,0.8290300000007846
6,37,48suffUsTe,,,pitucista,,uste,48,s,0.8324368000012328
7,37,13corr,1.0,13.0,dorguvario,sf,corr,13,l,0.7657703999993828
8,37,17hfUsTe,,,rogipondo,,uste,17,l,1.1847325999988243
9,37,26lf,,,cridolebo,,tsue,26,s,2.7148447999989003
10,37,9corr,1.0,9.0,cettobiaba,lf,corr,9,s,1.4376131999997597
11,37,11corr,1.0,11.0,mernidallo,hf,corr,11,l,1.9975126999997883
12,37,26hf,,,cridoloppo,,tsue,26,s,1.0519977000003564
13,37,44hfUsTe,,,zupelallo,,uste,44,s,1.1948406000010436
14,37,3corr,1.0,3.0,mudegespa,lf,corr,3,s,3.278072600000087
15,37,31hfUsTe,,,necibento,,uste,31,s,2.8790738999996393
16,37,37lfUsTe,,,sacupespa,,uste,37,s,1.3558874000009382
17,37,16suff,,,vutuvoso,,tsue,16,l,0.847465299999385
18,37,11hf,,,ceburome,,tsue,11,s,1.0387092000000848
19,37,34hfUsTe,,,vilucenso,,uste,34,s,1.2327659999991738
20,37,11lf,,,ceburerpe,,tsue,11,s,0.9230810000008205
21,37,16hf,,,vutuvusto,,tsue,16,s,2.9408154000011564
22,37,18corr,1.0,18.0,pobedepre,lf,corr,18,s,3.307763499999055
23,37,5rec,1.0,23.0,vutuvolmo,,rec,5,s,0.7523231999985001
24,37,8rec,1.0,26.0,vicraziaba,,rec,8,s,0.8803322000003391
25,37,16lf,,,vutuveffo,,tsue,16,s,0.6846733999991557
26,37,2corr,1.0,2.0,zudulondo,hf,corr,2,l,3.3075976000000082
27,37,5corr,1.0,5.0,vutuvenso,hf,corr,5,s,4.671129600001223
28,37,17corr,1.0,17.0,vugipogno,hf,corr,17,s,1.3390071999983775
29,37,9suff,,,ceburico,,tsue,9,l,2.2214650999994774
30,37,7rec,1.0,25.0,clivunento,,rec,7,s,1.5493267000001651
31,37,12rec,1.0,30.0,pubbanista,,rec,12,l,1.0876357999986794
32,37,1corr,1.0,1.0,rugobenza,sf,corr,1,l,1.051606199998787
33,37,6rec,1.0,24.0,tobufizia,,rec,6,s,0.8642572000007931
34,37,18rec,1.0,36.0,pobedismo,,rec,18,l,4.28939630000059
35,37,20lfUsTe,,,rogipasio,,uste,20,s,1.5483714000001783
36,37,6corr,1.0,6.0,tobufolmo,lf,corr,6,s,2.4944828000006964
37,37,4rec,1.0,22.0,ceburenso,,rec,4,s,1.1342226000015216
38,37,1suffUsTe,,,pecupenza,,uste,1,s,2.1607034999997268
39,37,17rec,1.0,35.0,vugipepre,,rec,17,s,0.9749977000010404
40,37,10corr,1.0,10.0,cribotista,sf,corr,10,l,1.1210343000002467
41,37,7corr,1.0,7.0,clivuniere,sf,corr,7,s,0.8970685000003868
42,37,19suffUsTe,,,rogipiere,,uste,19,s,1.0393688999993174
43,37,13rec,1.0,31.0,dorguvosto,,rec,13,s,0.6521118999989994
44,37,14corr,1.0,14.0,slibadosto,hf,corr,14,s,2.0126970000001165
45,37,16corr,1.0,16.0,cevecismo,sf,corr,16,l,1.0530419999995502
46,37,11rec,1.0,29.0,mernidasio,,rec,11,s,0.9078723000002356
47,37,23lfUsTe,,,bepoliaba,,uste,23,s,1.0360340000006545
48,37,12corr,1.0,12.0,pubbanasio,lf,corr,12,s,1.7279491999997845
49,37,11suff,,,ceburorio,,tsue,11,s,2.284079600000041
50,37,15rec,1.0,33.0,cridolario,,rec,15,l,1.2302832000004855
51,37,1rec,1.0,19.0,rugobondo,,rec,1,l,0.9425157000005129
52,37,15corr,1.0,15.0,cridolinna,lf,corr,15,l,0.8290347999991354
53,37,9rec,1.0,27.0,cettobiere,,rec,9,s,1.0721788000009838
54,37,2rec,1.0,20.0,zudulespa,,rec,2,s,0.9609243999984756
55,37,3rec,1.0,21.0,mudegenza,,rec,3,l,1.3924879999995028
56,37,42suffUsTe,,,zupelizia,,uste,42,s,0.7306865000009566
57,37,9lf,,,ceburirpe,,tsue,9,l,1.791099199999735
58,37,9hf,,,ceburempo,,tsue,9,s,0.7508974000011222
59,37,8corr,1.0,8.0,vicrazento,hf,corr,8,s,1.0547661999989941
