sbj_id,rot,id_sct,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,congruency,sent,answ,rt,rot_LT
49,1,1,sf,hf,lf,yes,"Quando la mamma mi ha sgridato, abbiamo litigato di brutto, non ce l'ho fatta a rugobare.",l,13.412829500000045,1
49,1,18,lf,sf,hf,no,Mi piace troppo viaggare per poter essere un pobedo.,s,8.610946700000111,1
49,1,9,lf,sf,hf,yes,"Tra varie decorazioni all'ingresso, Marta ha un meraviglioso cettobo.",s,7.45738399999982,1
49,1,2,hf,lf,sf,yes,"Anche quando si parla della vita privata delle VIP, Maria riesce a zudulare.",l,9.23605600000019,1
49,1,16,sf,hf,lf,no,Alessio beve solo vino rosso perché è un ceveco.,l,8.54895119999992,1
49,1,6,lf,sf,hf,yes,"Facendo l'avvocato si può vivere bene, Tommaso ha fatto una scelta tobufa.",s,8.178738200000224,1
49,1,13,sf,hf,lf,yes,Ho visto nella vetrina di Gucci che hanno un nuovo dorguvo.,l,8.453452799999923,1
49,1,17,hf,lf,sf,yes,"Tra le altre cose, Michele ha dovuto imparare a cacciare per diventare vugipo.",s,6.4235131999998885,1
49,1,12,lf,sf,hf,yes,I collezionisti appassionati pagano tanto per avere un pubbano.,s,6.100559699999849,1
49,1,3,lf,sf,hf,no,"Marco è veramente noioso con il suo lavoro, deve smettere di mudegare.",l,8.402278999999908,1
49,1,8,hf,lf,sf,yes,"Ormai non rispondo più alle chiamate dai numeri sconosciuti, può essere solo un vicrazo.",l,8.627677699999822,1
49,1,7,sf,hf,lf,no,Selena spera che sua figlia crescerà se ogni giorno le dà da mangiare un clivuno.,s,6.080666599999857,1
49,1,11,hf,lf,sf,no,Ho una grande casa che sta molto bene con il mio nuovo mernido.,s,6.450499600000057,1
49,1,4,sf,hf,lf,yes,"Siccome ha tanti interessi ed è sempre attivo, Giovanni non è mai ceburo.",l,7.508362300000044,1
49,1,10,sf,hf,lf,no,"Stanca dalla vita in città, Rita è andata a vivere con un criboto.",l,8.182516899999882,1
49,1,14,hf,lf,sf,no,"Invece di mangiare fagioli, la piccola Sara preferisce uno slibado.",l,7.8315050000001065,1
49,1,15,lf,sf,hf,no,"Roberto non ci permette di lavorare troppo, è il nostro cridolo.",s,5.779110800000128,1
49,1,5,hf,lf,sf,no,"Quando sua moglie ha ordinato l'insalata, Mario era vutuvo.",l,6.517569200000253,1
