id_rmt,rot,target_complexity,simple_id,target
1corr,1,sf,1,rugobenza
2corr,1,hf,2,zudulondo
3corr,1,lf,3,mudegespa
4corr,1,sf,4,ceburizia
5corr,1,hf,5,vutuvenso
6corr,1,lf,6,tobufolmo
7corr,1,sf,7,clivuniere
8corr,1,hf,8,vicrazento
9corr,1,lf,9,cettobiaba
10corr,1,sf,10,cribotista
11corr,1,hf,11,mernidallo
12corr,1,lf,12,pubbanasio
13corr,1,sf,13,dorguvario
14corr,1,hf,14,slibadosto
15corr,1,lf,15,cridolinna
16corr,1,sf,16,cevecismo
17corr,1,hf,17,vugipogno
18corr,1,lf,18,pobedepre
1rec,1,,19,rugobondo
2rec,1,,20,zudulespa
3rec,1,,21,mudegenza
4rec,1,,22,ceburenso
5rec,1,,23,vutuvolmo
6rec,1,,24,tobufizia
7rec,1,,25,clivunento
8rec,1,,26,vicraziaba
9rec,1,,27,cettobiere
10rec,1,,28,cribotallo
11rec,1,,29,mernidasio
12rec,1,,30,pubbanista
13rec,1,,31,dorguvosto
14rec,1,,32,slobadinna
15rec,1,,33,cridolario
16rec,1,,34,cevecogno
17rec,1,,35,vugipepre
18rec,1,,36,pobedismo
