,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,25,1,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,2,4.141935600000579,yes,"[0, 0]","[0, 100]","[0, -100]","[0, -200]",x,x,x
1,25,1,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,2,8.309556399999565,no,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",sentire qualcuno fare stupidi commenti,x,x
2,25,1,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,3,6.952445599999919,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,chiamata promozionale
3,25,1,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,4,8.63074880000022,no,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,persona premurosa,x
4,25,1,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,8.37689440000031,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,persona che tiene gli altri fuori dalla rissa
5,25,1,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,4,8.085109899999225,yes,"[0, -200]","[0, -100]","[0, 0]","[0, 100]",x,x,x
6,25,1,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,9.39612760000091,no,"[0, 0]","[0, 100]","[0, -100]","[0, -200]",x,gioiello,x
7,25,1,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,4,5.865549099999043,no,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,decorazione fatta dal ramo di un albero
8,25,1,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,2,7.923476599999049,yes,"[0, 0]","[0, -200]","[0, 100]","[0, -100]",x,x,x
9,25,1,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,3,12.819744599999467,no,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,persona gentile,x
10,25,1,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,3,6.536649800000305,no,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,baracca,x
11,25,1,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,4,7.237017499999638,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
12,25,1,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,3,6.19703169999957,no,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,ornamento,x
13,25,1,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,1,7.444776399999682,yes,"[0, 100]","[0, -100]","[0, -200]","[0, 0]",x,x,x
14,25,1,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,3,7.510035799999969,no,"[0, 0]","[0, -100]","[0, -200]","[0, 100]",tazza per il tè ecosostenibile,x,x
15,25,1,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,3,9.746766100000968,yes,"[0, -100]","[0, -200]","[0, 100]","[0, 0]",x,x,x
16,25,1,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,2,6.340573999999833,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
17,25,1,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,2,5.511106599999039,yes,"[0, 0]","[0, -100]","[0, -200]","[0, 100]",x,x,x
