,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,47,2,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,4,7.738765600000079,no,"[0, -100]","[0, 100]","[0, 0]","[0, -200]",x,x,valigia di lusso di alta moda
1,47,2,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,2,9.943414800000028,no,"[0, -100]","[0, 100]","[0, -200]","[0, 0]",x,x,sopportare qualcuno sgridarti senza reagire in modo eccessivo
2,47,2,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,7.5247516000008545,no,"[0, 0]","[0, -200]","[0, 100]","[0, -100]",x,x,persona che tiene gli altri fuori dalla rissa
3,47,2,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,3,9.336944700000458,yes,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,x
4,47,2,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,3,7.301544699999795,yes,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,x,x
5,47,2,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,1,14.996186600000328,no,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,gioiello fatto di ciottoli da spiaggia
6,47,2,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,2,8.755064200000561,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
7,47,2,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,4,8.10098349999953,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
8,47,2,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,2,12.504369100000076,no,"[0, -200]","[0, 100]","[0, -100]","[0, 0]",x,x,persona che non mangia frutta
9,47,2,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,4,10.19788779999999,no,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,x,chiamata promozionale
10,47,2,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,3,4.856558299999961,yes,"[0, -100]","[0, 100]","[0, 0]","[0, -200]",x,x,x
11,47,2,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,6.115606600000319,yes,"[0, -100]","[0, 100]","[0, -200]","[0, 0]",x,x,x
12,47,2,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,4,8.920332099999541,no,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,x,non fidarsi di pettegolezzi 
13,47,2,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,4,26.3861981,yes,"[0, -200]","[0, 100]","[0, -100]","[0, 0]",x,x,x
14,47,2,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,2,8.213077899999917,yes,"[0, 0]","[0, -100]","[0, -200]","[0, 100]",x,x,x
15,47,2,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,1,5.653384999999616,yes,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,x,x
16,47,2,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,4,9.222338799999307,no,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,persona che ama la natura,x
17,47,2,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,1,8.215413300000364,yes,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,x
