,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,39,3,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,4,5.230885400000261,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
1,39,3,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,4,8.804840299999341,no,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,x,capanna sotteranea
2,39,3,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,1,6.052894299999025,yes,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,x,x
3,39,3,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,4,10.006324300000415,no,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,non fidarsi di pettegolezzi 
4,39,3,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,2,18.359389599998394,no,"[0, -200]","[0, -100]","[0, 100]","[0, 0]",x,x,essere imbarazzati causa di azioni di un'altra persona
5,39,3,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,6.792810200000531,no,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,x,persona che tiene gli altri fuori dalla rissa
6,39,3,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,4,8.825780799999848,yes,"[0, -200]","[0, -100]","[0, 100]","[0, 0]",x,x,x
7,39,3,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,2,8.215030600000318,no,"[0, 100]","[0, -100]","[0, 0]","[0, -200]",x,baracca,x
8,39,3,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,4,11.172854800001005,no,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,persona che non mangia frutta
9,39,3,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,1,14.61579249999886,yes,"[0, 100]","[0, -100]","[0, 0]","[0, -200]",x,x,x
10,39,3,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,2,9.47884139999951,no,"[0, -100]","[0, -200]","[0, 100]","[0, 0]",x,x,canzone educativa per bambini
11,39,3,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,4,8.521015300000727,no,"[0, 0]","[0, 100]","[0, -100]","[0, -200]",x,x,decorazione fatta dal ramo di un albero
12,39,3,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,4,7.190556800000195,no,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,x,non fidarsi di complimenti che ti fanno
13,39,3,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,1,4.889829300000201,yes,"[0, 100]","[0, -200]","[0, -100]","[0, 0]",x,x,x
14,39,3,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,3,16.886034999999538,no,"[0, 100]","[0, -200]","[0, -100]","[0, 0]",x,non avere fiducia,x
15,39,3,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,1,7.671238200000516,no,"[0, -200]","[0, -100]","[0, 0]","[0, 100]",x,x,persona che crede nel vivere esclusivamente dalla natura
16,39,3,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,3,7.638234899999588,yes,"[0, -100]","[0, -200]","[0, 100]","[0, 0]",x,x,x
17,39,3,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,2,6.057132399999318,no,"[0, -100]","[0, 100]","[0, 0]","[0, -200]",x,antiquariato,x
