,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,15,3,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,3,20.761375500002032,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,chiamata promozionale
1,15,3,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,2,8.56758809999883,yes,"[0, 0]","[0, 100]","[0, -100]","[0, -200]",x,x,x
2,15,3,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,1,3.1439420000024256,no,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,non fidarsi di complimenti che ti fanno
3,15,3,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,2,8.775261599999794,no,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,non avere fiducia,x
4,15,3,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,1,10.674515899998369,yes,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,x,x
5,15,3,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,2,10.581403799998952,yes,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,x,x
6,15,3,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,2,6.4421996000019135,yes,"[0, 0]","[0, -200]","[0, -100]","[0, 100]",x,x,x
7,15,3,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,17.078957999998238,yes,"[0, -100]","[0, 0]","[0, -200]","[0, 100]",x,x,x
8,15,3,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,1,25.333064300000842,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",persona che fa sempre le vacanza sulle isole tropicali,x,x
9,15,3,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,2,12.407703299999412,yes,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,x,x
10,15,3,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,8.168600599998172,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,persona che tiene gli altri fuori dalla rissa
11,15,3,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,4,8.648236100001668,no,"[0, -100]","[0, 100]","[0, -200]","[0, 0]",x,antiquariato,x
12,15,3,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,3,10.19649550000031,no,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,gioiello fatto di ciottoli da spiaggia
13,15,3,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,3,7.845337200000358,no,"[0, -200]","[0, 0]","[0, 100]","[0, -100]",x,x,decorazione fatta dal ramo di un albero
14,15,3,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,4,18.823318200000358,yes,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,x
15,15,3,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,1,16.454003200000443,no,"[0, -200]","[0, -100]","[0, 0]","[0, 100]",x,x,persona che crede nel vivere esclusivamente dalla natura
16,15,3,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,2,7.39514810000037,no,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,vergogna,x
17,15,3,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,4,9.3695813000013,yes,"[0, -200]","[0, 0]","[0, 100]","[0, -100]",x,x,x
