,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,9,3,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,4,9.880179799998587,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
1,9,3,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,2,13.033342700000503,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
2,9,3,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,1,8.263913299997512,yes,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,x,x
3,9,3,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,1,12.48552539999946,yes,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,x,x
4,9,3,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,1,23.364925500001846,yes,"[0, 100]","[0, -200]","[0, -100]","[0, 0]",x,x,x
5,9,3,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,8.69515390000015,yes,"[0, -100]","[0, 100]","[0, -200]","[0, 0]",x,x,x
6,9,3,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,1,11.688968100002967,yes,"[0, 100]","[0, -100]","[0, -200]","[0, 0]",x,x,x
7,9,3,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,2,10.729179300000396,yes,"[0, 0]","[0, -200]","[0, 100]","[0, -100]",x,x,x
8,9,3,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,2,17.860546600000816,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
9,9,3,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,2,6.05715930000224,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
10,9,3,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,3,12.008437999997113,yes,"[0, -100]","[0, -200]","[0, 100]","[0, 0]",x,x,x
11,9,3,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,14.728957700001047,no,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,x,persona che tiene gli altri fuori dalla rissa
12,9,3,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,2,5.952399599998898,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
13,9,3,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,1,9.463851200001955,yes,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,x
14,9,3,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,4,9.049259600000369,yes,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,x
15,9,3,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,1,13.818378299998585,yes,"[0, 100]","[0, 0]","[0, -100]","[0, -200]",x,x,x
16,9,3,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,4,15.717006199996831,yes,"[0, -200]","[0, 100]","[0, -100]","[0, 0]",x,x,x
17,9,3,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,4,11.798633600003086,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
